id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
40,porque tenho uma tendencia a cada vez mais comer menos carne,midias,etica_animal,"uso muito para fazer caldo de sopa, mas geralmente nao consumo a carne.",mulher_cis,amarela,mestrado
41,contribuir com o meio ambiente diminuir o consumo de hormônios add as carnes e manter alimentacao saudavel e adequada,outros,saude,nenhuma,mulher_cis,branca,mestrado
42,sim,midias,aversao,caimbras e deficiencias de vitaminas,mulher_cis,branca,superior
43,sim,midias,impacto_ambiental,"falta de conhecimento para fazer pratos que supram minha necessidade de saúde, por isso ainda como frango, peixe e ovo. mas quanto a carne vermelha eu nao tive dificuldade",mulher_cis,branca,mestrado
44,porque acho importante consumir pouca carne,midias,saude,nenhuma,mulher_cis,branca,mestrado
45,saude meio ambiente e bem estar animal,outros,etica_animal,substitutos de qualidade,homem_cis,branca,doutorado
46,porque eu me preocupo em reduzir o consumo de carne com motivacões relacionadas ao ambiente e com o bem-estar animal,escola_universidade,etica_animal,tempo para preparar os alimentos,mulher_cis,branca,doutorado
47,por gosto (pouca afinidade com carne vermelha) e por consciencia ambiental (direito dos animais),essa_pesquisa,impacto_ambiental,tempo para preparar os alimentos,homem_cis,branca,mestrado
48,comecei a reduzir o consumo ao ter contato com pessoas vegetarianas/veganas que se preocupam com todo o contexto do animal e tambem por ter comecado a preparar refeicões,amigos,etica_animal,habito alimentar - somos acostumados que a carne animal e uma das partes mais importantes da refeicao,mulher_cis,branca,superior
49,porque nao como carne vermelha nem de porco ha aproximadamente 4 anos,amigos,etica_animal,"dificuldade de acesso a produtos vegetarianos ou veganos, sobretudo em relacao ao preco e disponibilidade",mulher_cis,parda,doutorado
50,por reduzir o consumo de carne,midias,impacto_ambiental,gostar do sabor,mulher_cis,branca,doutorado
51,porque evito carne ha muitos anos pelo sabor que nao me agrada,escola_universidade,aversao,ser grande fonte de proteina,mulher_cis,branca,doutorado
52,porque alem da quantidade imensa de hormônios e antibioticos que possuem nas carnes o jeito como os animais sao confinados e o abate nao me agradam,outros,impacto_ambiental,preco dos alimentos veganos e habito de comer carne por muitos anos,mulher_cis,branca,superior
53,acredito que reduzir o consumo de carne impacta positivamente na monha saude e na natureza,midias,saude,habito alimentar,mulher_cis,branca,doutorado
54,porque aos poucos tenho buscado reduzir o consumo de carne mas de maneira radical,escola_universidade,impacto_ambiental,gostar do sabor,mulher_cis,parda,mestrado
55,porque em raros momentos do meu ano abro excecao para alguns alimentos com carne,essa_pesquisa,impacto_ambiental,memoria afetiva,mulher_cis,branca,mestrado
56,porque nao como mais 2 vezes ao dia mas substituo varias vezes na semana por ovos e ate queijo e requeijao,amigos,saude,habito alimentar,mulher_cis,parda,medio
57,alimentacao variada e bom pra saude,essa_pesquisa,saude,habito alimentar,pnr,parda,doutorado
58,variacao alimentar,midias,saude,habito alimentar,homem_cis,parda,superior
59,porque cortei integralmente o consumo de carne vermelha e derivados e quando possivel opto por nao consumir nenhum tipo de carne alem de estar aberta ao consumo de preparacões e refeicões sem ingredientes de origem animal,escola_universidade,impacto_ambiental,praticidade e habito alimentar,mulher_cis,parda,medio
60,nao tem motivo para comer tanta carne os maus tratos com os animais muita geracao de gases do efeito estufa desmatamento muito consumo de agua consumo exagerado de graos que poderiam alimentar muitas pessoas com muita monocultura predatoria utilizando trabalho escravo e por motivos de saude,outros,saude,habito alimentar,pnr,branca,superior
61,por ter reduzido o consumo de carne em prol do meio ambiente,outros,impacto_ambiental,nenhuma,mulher_cis,parda,superior
62,sei a problematica que envolve producao e consumo de carnes tanto pra minha saude quanto pro planeta,midias,saude,"falta de tempo e organizacao, alem do aumento no valor do grao de bico, ervilha e ovos, que usava pra substituir",mulher_cis,pnr,superior
63,devido ao grande impacto_ambiental que a criacao de animais para consumo humano possui na natureza e porquestao de saude individual tambem,escola_universidade,impacto_ambiental,"gostar do sabor achar alguns alimentos no dia a dia (cogumelos, pancs, leguminosas, etc.)",mulher_cis,branca,mestrado
64,porque busco reduzir na minha dieta e na da minha familia o consumo de alimentos de origem animal mesmo que nao em todas as refeicões,midias,saude,proteinas suficientes para substituir a carne,mulher_cis,branca,superior
65,sei dos impactos ambientais da criacao de animais alem dos beneficios nutricionais de ingerir outros grupos alimentares,midias,impacto_ambiental,pessoas com quem divido as refeicões,mulher_cis,branca,mestrado
66,porque decidi reduzir o consumo de carne laticinios nao estava digerindo muito bem impacto_ambiental e sofrimento animal,midias,aversao,familia,mulher_cis,parda,superior
67,pois ainda consumo carnes entretanto procuro diminuir esse consumo,outros,impacto_ambiental,"nenhuma - talvez ser flexitariana ainda nao esteja no cotidiano das pessoas e muitas vezes elas tendem a nos julgar, como se tivesse que ser uma coisa ou outra (vegetariano ou nao)",mulher_cis,branca,doutorado
68,como peixe ainda,midias,impacto_ambiental,substitutos proteicos de qualidade,homem_cis,parda,mestrado
69,porque evito o consumo de proteina de origem animal uma vez na semana por conta da saude e estetica,essa_pesquisa,saude,gostar do sabor,mulher_cis,parda,superior
70,estou muito preocupada com o consumo de carne todos os dias,escola_universidade,saude,familia,mulher_cis,parda,doutorado
71,porque a carne demora pra se desfazer no nosso estomago,meus_pais,saude,sinto fraqueza,pnr,parda,superior
72,porque reduzo a carne porquestoes de saude,essa_pesquisa,saude,nenhuma,homem_cis,branca,fundamental
73,porque precisei reduzir o consumo de carne por problemas de saude e hoje so como carne bovina em ocasioes sociais,essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
74,porque eu como um pouco de tudo desde leguminosass e verdura a carne,outros,aversao,nenhuma,mulher_cis,parda,fundamental
75,porque nao consumo carne todos os dias,escola_universidade,impacto_ambiental,preparo dos alimentos,mulher_cis,branca,superior
76,sim,midias,etica_animal,desejo de comer algo que tem carne,mulher_cis,parda,superior
77,porque sou contra tratar os animais como mercadoria me importo com o sofrimento aos quais sao submetidos,outros,etica_animal,conviver com pessoas que compartilhem deste habito alimentar e comportamental.,homem_cis,branca,mestrado
78,esse termo ate o contato com essa pesquisa era desconhecido para mim mas a vivencia de ter a quantidade de carne de origem animal em quantidade reduzida em minha alimentacao cada vez mais ao longo do último ano e quando consumo e em baixa quantidade ao meu ver fazem se justificar a minha identificacao,essa_pesquisa,saude,"deliverys de fast food em geral, como salgados, pizzas, sanduiches, pasteis, etc. uma vez que em contexto de interior (que e o meu caso) dificilmente encontre-se facilmente opcões vegetarianas desses tipos de alimentos por exemplo, e essa acaba sendo a minha maior fonte de consumo de carne de origem animal atualmente.",nao_binario,parda,superior
79,pois nao me obrigo a comer nem carne nem 100% vegetal acabo variando bastante focando no meu bem-estar e vontade do momento,meus_pais,impacto_ambiental,praticidade de preparo,homem_cis,branca,superior
80,por ainda gostar de carne mas nao tanto quanto e nao consigo consumir muito n me sinto bem,essa_pesquisa,etica_animal,familiar e cultural por acreditarem que uma pessoa bem “nutrida” necessite de carne.,mulher_cis,branca,medio
81,assisti a um documentario que me fez refletir sobre a producao e o consumo de carne vermelha assim passei a consumir apenas frango peixe ovos,midias,impacto_ambiental,"ao comer fora de casa, e o fato de nao ter condicões de suprir o defict proteico.",mulher_cis,parda,superior
82,prefiro vegetais,meus_pais,aversao,falta de opcões para compensar a proteina animal,homem_cis,branca,mestrado
83,porque desde 2020 passei a reduzir consideravelmente o consumo de carnes na dieta da minha familia,essa_pesquisa,impacto_ambiental,"evito desperdicar alimentos prontos, por isso, acabo consumindo para nao jogar no lixo",mulher_cis,parda,doutorado
84,porque reduzi o consumo de carne ha mais de 30 anos,essa_pesquisa,impacto_ambiental,a necessidade do corpo as vezes,mulher_cis,parda,mestrado
85,sim,amigos,saude,preco de produtos,mulher_cis,preta,medio
86,porque reduzi proativamente a quantidade de vezes que como carne na minha rotina,midias,saude,nenhuma,homem_cis,branca,superior
87,porque tenho intencao de ser vegana mas ainda nao consegui pode ser que o flexitarianismo me ajude com adaptacao de novos sabores simultâneo a reducao de produtos de origem animal,midias,etica_animal,adaptacao de paladar,mulher_cis,parda,mestrado
88,nao sinto vontade de comer carne substituo facilmente por ovo peixe soja camarao as vezes como feijao arroz salada e so nao coloco nenhuma proteina,midias,saude,"as pessoas da familia que ficam falando, julgando, para evitar como porem pouco.",mulher_cis,parda,superior
89,ja fui vegetariano por 4 anos mas por diversos motivos optei por voltar a comer carnes mas nao na quantidade tradicional o vegetarianismo estava afetando minha relacao com a comida e eu estava perdendo um pouco minha autoafirmacao de que alimentacao e cultura ancestralidade raizes e relacões interpessoais continuo evitando carnes mas nao consigo por ora deixar totalmente,midias,impacto_ambiental,"cultura, relacões familiares e eventos/confraternizacões sociais. eu, sozinho, consigo facilmente. mas minha familia sobreviveu comendo carnes (criados no proprio quintal) e inventaram pratos/preparacões que se propagam ate hoje. abdicar disso tambem e ferir a relacao com a comida.",homem_cis,branca,mestrado
90,nao gosto muito de carne meu consumo se da apenas pela familia que costuma comer bastante alem de evitar por ter endometriose devido o potencial inflamatorio da carne na gestacao da minha mae ela nao consumia a carne imagino eu que isso tambem tenha influenciado,essa_pesquisa,saude,"autonomia maior no preparo dos alimentos e dos meus pais, e por eles consumirem bastante, nem sempre tenho outra opcao de proteina.",pnr,parda,superior
91,por motivo de saude,amigos,saude,nao tenho dificuldade,mulher_cis,branca,mestrado
92,sim,midias,etica_animal,praticidade e encontrar boas opcões em restaurantes diversos (e nao apenas em restaurantes vegs),mulher_cis,pnr,mestrado
93,porque nao como carne nem frango,midias,saude,nenhuma,mulher_cis,amarela,medio
94,porque tento reduzir o consumo de carne de origem animal,midias,impacto_ambiental,"tempo que preciso investir para preparar minha alimentacao, mas nao apenas no sentido da carne, tambem na questao da alimentacao mais saudavel. muitas vezes opto pelo que esta pronto. alem disso, nao moro sozinha e nao compartilhamos dos mesmos anseios em relacao a alimentacao.",mulher_cis,branca,mestrado
95,nao gosto do sabor,escola_universidade,aversao,nenhuma,homem_cis,parda,superior
96,porque nao faco questao de comer carne vermelha e tenho substituido por proteina vegetal no meu dia a dia quando possivel,midias,impacto_ambiental,"alguns locais que eu frequento ainda nao apresentam outras opcões, como meu local de trabalho e a casa do meu namorado",mulher_cis,branca,mestrado
97,minha namorada e ovolactovegetariana quando comecamos a morar juntos eu me adaptei em grande parte ao estilo de vida que ela ja levava mas ainda mantenho o consumo esporadico de peixe e frango principalmente,escola_universidade,impacto_ambiental,gostar do sabor,homem_cis,branca,superior
98,porque ao longo dos anos vim diminuindo o consumo de carne porquestoes de saude,midias,saude,comer fora de casa,mulher_cis,branca,superior
99,apesar de querer ser vegetariano existe fatores que me fazem nao ser ainda e o principal e a cultura familiar carnivora,outros,impacto_ambiental,"questões familiares, falta de ânimo para cozinhar",homem_cis,parda,superior
100,porque evito comer carne em respeito aos irmaos animais,outros,etica_animal,lugares que oferecam boas opcões,mulher_cis,amarela,superior
101,"sempre tive problemas em relacao a carnes, nao gosto muito do gosto/textura de alguns cortes e tipos de carne entao sempre compraram coisas pra substituir alem disso convivo com muita gente vegetariana ou vegana entao quando como com eles acabo evitando carnes",outros,aversao,praticidade. em todo canto tem opcões com carne.,homem_cis,branca,medio
102,porque tenho tentado reduzir o consumo de carne e substituir por outros alimentos,escola_universidade,saude,poucas opcões de outras fontes de proteina em supermercados locais.,mulher_cis,parda,doutorado
103,pelo baixo consumo de carne,amigos,saude,nenhuma,mulher_cis,branca,superior
104,saude,outros,saude,opcões de comer fora de casa,mulher_cis,branca,superior
105,teve mais de um ano que deixei de consumir carne mas a voltei novamente  entao eu como as vezes,amigos,impacto_ambiental,"morar fora acaba que voce nao se limita a uma dieta, come o que tem, entao por esse motivo acho que tenho dificuldade",mulher_cis,branca,superior
106,por me preocupar com os animais,amigos,etica_animal,dificuldade em adaptacao a uma dieta totalmente sem carne,mulher_cis,branca,superior
107,ainda nao me adaptei ao vegetarianismo mas pretendo,midias,etica_animal,preguica de cozinhar receitas alternativas,mulher_cis,branca,superior
108,porque reduzo o consumo da carne bovina por ser uma carne vermelha e se consumida em excesso afeta negativamente a saude,midias,saude,me alimentar sem uma fonte de proteinas,homem_cis,parda,mestrado
109,sim,midias,etica_animal,"nao cozinho bem, mas tô aprendendo.",mulher_cis,parda,mestrado
110,eu tentei reduzir mais e ate estava com um consumo de carne menor mas estou num pos operatorio para ganho de massa e o nutricionista voltou a proteina animal pelo menos por enquanto,midias,saude,ajuste de receitas e quantidades na relacao animal x vegetal,mulher_cis,branca,mestrado
111,razoes financeiras,essa_pesquisa,aversao,nenhuma,homem_cis,branca,mestrado
112,como o consumo de carne e inflamatoria tenho tentado reduzir do consumo alimentar da minha casa,midias,saude,"monotonia do consumo alimentar, pois devido a rotina as preparacões ficam semelhantes",mulher_cis,parda,mestrado
113,convivo com vegetarianes e veganes concordo com muitos argumentos a favor dessas dietas porem acho muito dificil deixar de comer queijos  ovos quando como em restaurantes ou om familiares nem sempre encontro opcões de pratos sem carne acredito que estou numa caminhada para o egetarianismo mas ainda nao cheguei la,amigos,impacto_ambiental,falta de opcoes vegetarianas atraentes em restaurantes,homem_cis,branca,mestrado
114,nao sabia que era flex,amigos,etica_animal,organizacao familiar,mulher_cis,parda,doutorado
115,porque nao consumo carne mais de uma vez ao dia,midias,saude,o preco das verduras e leges,mulher_cis,parda,superior
116,nao consumo proteina de origem animal td o dia as vezes nao como na semana td,meus_pais,saude,refeicões fora de casa... 90% dos opcões possuem carne,mulher_cis,branca,superior
117,opcao propria,meus_pais,impacto_ambiental,opcoes viaveis,homem_cis,parda,mestrado
118,porque mesmo nao me preocupando (em relacao a obter alimento de melhor qualidade mas me preocupo um pouco com o bem-estar animal) com as condicões de criacao dos animais na hora da compra me preocupo com as consequencias ambientais que a pecuaria possui um grande peso por isso a reducao do consumo de carne se tornou importante pra mim,escola_universidade,impacto_ambiental,"algumas vezes ao comprar alguma refeicao, o estabelecimento fornece (no prato de um almoco, por exemplo) uma quantidade de carne que eu considero exagerada em proporcao aos outros alimentos, e e algo que eu nao posso regular",homem_cis,parda,medio
119,pelo impacto_ambiental da pecuaria e principalmente pelo sofrimento que animais nao humanos sao submetidos em nosso sistema social ambiental cultural e econômico,midias,etica_animal,"o tempo de preparar refeicões alternativas em um meio de pessoas que nao se importam em consumir carne. alem do econômico, produtos veganos e orgânicos no mercado sao encarecidos, e o conhecimento a outros meios mais acessiveis estou comecando a ter contato agora.",pnr,indigena,superior
120,ideologia,midias,etica_animal,opcões,mulher_cis,branca,superior
121,porque eu tento evitar carne em minhas refeicões po razões ambientais e de saude,essa_pesquisa,saude,nenhuma,mulher_cis,branca,mestrado
122,as vezes,midias,etica_animal,opcoes no mercado,mulher_cis,branca,superior
123,porque tento me alimentar de forma intuitiva sem excluir alimentos mas sim buscando variedades e consumir maiores quantidades de alimentos de origem vegetal no entanto ao sentir necessidade/vontade faco o consumo carnes animais ja tentei ser vegetariana e vegana e nao consegui era algo que me frustrava muito e tomava conta da minha vida agora me sinto mais em paz em relacao a minha relacao com a comida e ao meu ambiente,essa_pesquisa,impacto_ambiental,"quando nao sou eu quem prepara a refeicao, quando estou fora da minha casa ou cidade.",mulher_cis,branca,superior
124,porque consumo pouca carne,midias,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
125,porque ainda nao consegui sair das carnes gracas a pressao cultural,midias,impacto_ambiental,"questões culturais, tempo de preparo e valores de comidas prontas vegetarianas",homem_cis,branca,medio
126,porque aos poucos venho reduzindo o consumo de carne,midias,saude,a sensacao do que comi nao foi suficiente.,mulher_cis,branca,superior
127,porque reduzi bastante o consumo de proteina animal principalmente a bovina quando consumo a quantidade e em torno de 60g,escola_universidade,impacto_ambiental,pessoas do convivio social consomem muita carne e optam por churrascos e refeicões a base de proteina animal,mulher_cis,branca,doutorado
128,aconteceu naturalmente o interesse pelo consumo de carne comecou a diminuir sou devoto de uma deusa que as vezes pede para que algum devoto pare de comer carne mas essa escolha e totalmente da pessoa e apesar de ser devoto dessa deidade nao acredito que essa questao esteja ligada a diminuicao do meu consumo de carne,midias,religiao,"nao conseguir repor proteina na dieta, por isso, as vezes como mesmo sem vontade para que nao falte proteina na minha alimentacao",homem_cis,branca,superior
129,eu deixo de comer carte com frequencia por opcao acho que a digestao e melhor as vezes eu passo mal dependendo da carne que como,escola_universidade,impacto_ambiental,a facilidade de se saciar com carne.,mulher_cis,parda,doutorado
130,por minha saude e por entender que precisamos reduzir o co2 da atmosfera e vivermos com mais sustentabilidade,essa_pesquisa,saude,adaptacao de cardapio,mulher_cis,parda,superior
131,nao me considerava,midias,saude,habito alimentar,mulher_cis,parda,mestrado
132,porquestoes economicas e nojo de manejar cozinhar carne crua,outros,aversao,"pensar em substutivos, em como repor, como cozinhar carne de soja por exemplo, nao sei manejar muito bem",mulher_cis,branca,superior
133,so nao sou vegetariana (fui por 2 ania) porque tenho diabetes e nao consegui adaptar minha dieta acabava comendo mais carboidratos mas evito comer bichos o maximo possivel,essa_pesquisa,etica_animal,substituicao,mulher_cis,branca,superior
134,porque consegui  reduzir o consumo  de carne animal,amigos,impacto_ambiental,variar o cardapio para substituir a carne,mulher_cis,parda,superior
135,porque sinto que quando me alimento de carne fico com mal estar,midias,saude,nenhuma,mulher_cis,parda,superior
136,porquestao de saude,midias,saude,substituicao com o mesmo poder de saciedade,mulher_cis,branca,superior
137,por saber que comer carne principalmente vermelha nao faz bem para a saude,amigos,saude,gostar do sabor,mulher_cis,parda,superior
138,reducao de producao de gases aumento de preco sensibilidade aos animais religiao (jejum) etc,midias,impacto_ambiental,gostar do sabor,mulher_cis,branca,superior
139,porque procuro reduzir meu consumo de carne,midias,impacto_ambiental,gostar do sabor,homem_cis,branca,superior
140,porque nao sou especificamente vegetariano ou vegano,essa_pesquisa,saude,nenhuma,homem_cis,parda,doutorado
141,nao pretendo me tornar vegetariana ou vedacao contudo conheco os problemas decorrentes do grande consumo de carne e os impactos ambientais relacionados acredito que se todos reduzissem o consumo diminuiria significativamente os impactos negativos,essa_pesquisa,impacto_ambiental,"alimentacao da minha familia, consumidora assidua de carne",mulher_cis,parda,superior
142,porque nao considero a proteina animal essencial na minha alimentacao,amigos,aversao,"praticidade de se alimentar de carne numa sociedade em que ela e a base da alimentacao, e muito comum encontrar em restaurantes/lanchonetes apenas opcões de comida pronta contendo carne.",mulher_cis,parda,superior
143,porque sigo comendo peixe e frango mesmo tentando reduzir ainda nao sou vegetariana,essa_pesquisa,aversao,preco dos substituintes e apego a memoria afetiva das comidas em familia com frango e peixe,mulher_cis,parda,mestrado
144,porque procuro reduzir o consumo de carne ao longo da semana,escola_universidade,impacto_ambiental,aprender a temperar as comidas de forma gostosa,mulher_cis,branca,superior
