text,reason
nao tem motivo para comer tanta carne os maus tratos com os animais muita geracao de gases do efeito estufa desmatamento muito consumo de agua consumo exagerado de graos que poderiam alimentar muitas pessoas com muita monocultura predatoria utilizando trabalho escravo e por motivos de saude,preocupação com a saúde ou ambiente
por ter reduzido o consumo de carne em prol do meio ambiente,preocupação com a saúde ou ambiente
sei a problematica que envolve producao e consumo de carnes tanto pra minha saude quanto pro planeta,preocupação com a saúde ou ambiente
devido ao grande impacto_ambiental que a criacao de animais para consumo humano possui na natureza e porquestao de saude individual tambem,preocupação com a saúde ou ambiente
porque busco reduzir na minha dieta e na da minha familia o consumo de alimentos de origem animal mesmo que nao em todas as refeicões,diminui a frequência de consumo
sei dos impactos ambientais da criacao de animais alem dos beneficios nutricionais de ingerir outros grupos alimentares,preocupação com a saúde ou ambiente
porque decidi reduzir o consumo de carne laticinios nao estava digerindo muito bem impacto_ambiental e sofrimento animal,preocupação com a saúde ou ambiente
pois ainda consumo carnes entretanto procuro diminuir esse consumo,diminui a frequência de consumo
porque evito o consumo de proteina de origem animal uma vez na semana por conta da saude e estetica,preocupação com a saúde ou ambiente
estou muito preocupada com o consumo de carne todos os dias,preocupação com a saúde ou ambiente
porque a carne demora pra se desfazer no nosso estomago,preocupação com a saúde ou ambiente
porque reduzo a carne porquestoes de saude,preocupação com a saúde ou ambiente
porque precisei reduzir o consumo de carne por problemas de saude e hoje so como carne bovina em ocasioes sociais,preocupação com a saúde ou ambiente
porque eu como um pouco de tudo desde leguminosass e verdura a carne,outros
porque sou contra tratar os animais como mercadoria me importo com o sofrimento aos quais sao submetidos,preocupação com a saúde ou ambiente
esse termo ate o contato com essa pesquisa era desconhecido para mim mas a vivencia de ter a quantidade de carne de origem animal em quantidade reduzida em minha alimentacao cada vez mais ao longo do último ano e quando consumo e em baixa quantidade ao meu ver fazem se justificar a minha identificacao,diminui a frequência de consumo
pois nao me obrigo a comer nem carne nem 100% vegetal acabo variando bastante focando no meu bem-estar e vontade do momento,outros
por ainda gostar de carne mas nao tanto quanto e nao consigo consumir muito n me sinto bem,diminui a frequência de consumo
assisti a um documentario que me fez refletir sobre a producao e o consumo de carne vermelha assim passei a consumir apenas frango peixe ovos,exclui alguns animais
porque desde 2020 passei a reduzir consideravelmente o consumo de carnes na dieta da minha familia,diminui a frequência de consumo
porque reduzi o consumo de carne ha mais de 30 anos,diminui a frequência de consumo
porque reduzi proativamente a quantidade de vezes que como carne na minha rotina,diminui a frequência de consumo
porque tenho intencao de ser vegana mas ainda nao consegui pode ser que o flexitarianismo me ajude com adaptacao de novos sabores simultâneo a reducao de produtos de origem animal,diminui a frequência de consumo
nao sinto vontade de comer carne substituo facilmente por ovo peixe soja camarao as vezes como feijao arroz salada e so nao coloco nenhuma proteina,diminui a frequência de consumo
ja fui vegetariano por 4 anos mas por diversos motivos optei por voltar a comer carnes mas nao na quantidade tradicional o vegetarianismo estava afetando minha relacao com a comida e eu estava perdendo um pouco minha autoafirmacao de que alimentacao e cultura ancestralidade raizes e relacões interpessoais continuo evitando carnes mas nao consigo por ora deixar totalmente,diminui a frequência de consumo
nao gosto muito de carne meu consumo se da apenas pela familia que costuma comer bastante alem de evitar por ter endometriose devido o potencial inflamatorio da carne na gestacao da minha mae ela nao consumia a carne imagino eu que isso tambem tenha influenciado,preocupação com a saúde ou ambiente
porque tento reduzir o consumo de carne de origem animal,diminui a frequência de consumo
porque nao faco questao de comer carne vermelha e tenho substituido por proteina vegetal no meu dia a dia quando possivel,diminui a frequência de consumo
minha namorada e ovolactovegetariana quando comecamos a morar juntos eu me adaptei em grande parte ao estilo de vida que ela ja levava mas ainda mantenho o consumo esporadico de peixe e frango principalmente,diminui a frequência de consumo
porque ao longo dos anos vim diminuindo o consumo de carne porquestoes de saude,preocupação com a saúde ou ambiente
apesar de querer ser vegetariano existe fatores que me fazem nao ser ainda e o principal e a cultura familiar carnivora,outros
porque evito comer carne em respeito aos irmaos animais,exclui alguns animais
"sempre tive problemas em relacao a carnes, nao gosto muito do gosto/textura de alguns cortes e tipos de carne entao sempre compraram coisas pra substituir alem disso convivo com muita gente vegetariana ou vegana entao quando como com eles acabo evitando carnes",exclui alguns animais
porque tenho tentado reduzir o consumo de carne e substituir por outros alimentos,diminui a frequência de consumo
teve mais de um ano que deixei de consumir carne mas a voltei novamente  entao eu como as vezes,diminui a frequência de consumo
ainda nao me adaptei ao vegetarianismo mas pretendo,diminui a frequência de consumo
porque reduzo o consumo da carne bovina por ser uma carne vermelha e se consumida em excesso afeta negativamente a saude,preocupação com a saúde ou ambiente
eu tentei reduzir mais e ate estava com um consumo de carne menor mas estou num pos operatorio para ganho de massa e o nutricionista voltou a proteina animal pelo menos por enquanto,diminui a frequência de consumo
como o consumo de carne e inflamatoria tenho tentado reduzir do consumo alimentar da minha casa,preocupação com a saúde ou ambiente
convivo com vegetarianes e veganes concordo com muitos argumentos a favor dessas dietas porem acho muito dificil deixar de comer queijos  ovos quando como em restaurantes ou om familiares nem sempre encontro opcões de pratos sem carne acredito que estou numa caminhada para o egetarianismo mas ainda nao cheguei la,diminui a frequência de consumo
porque nao consumo carne mais de uma vez ao dia,diminui a frequência de consumo
nao consumo proteina de origem animal td o dia as vezes nao como na semana td,diminui a frequência de consumo
porque mesmo nao me preocupando (em relacao a obter alimento de melhor qualidade mas me preocupo um pouco com o bem-estar animal) com as condicões de criacao dos animais na hora da compra me preocupo com as consequencias ambientais que a pecuaria possui um grande peso por isso a reducao do consumo de carne se tornou importante pra mim,preocupação com a saúde ou ambiente
pelo impacto_ambiental da pecuaria e principalmente pelo sofrimento que animais nao humanos sao submetidos em nosso sistema social ambiental cultural e econômico,preocupação com a saúde ou ambiente
porque eu tento evitar carne em minhas refeicões po razões ambientais e de saude,preocupação com a saúde ou ambiente
porque tento me alimentar de forma intuitiva sem excluir alimentos mas sim buscando variedades e consumir maiores quantidades de alimentos de origem vegetal no entanto ao sentir necessidade/vontade faco o consumo carnes animais ja tentei ser vegetariana e vegana e nao consegui era algo que me frustrava muito e tomava conta da minha vida agora me sinto mais em paz em relacao a minha relacao com a comida e ao meu ambiente,diminui a frequência de consumo
porque ainda nao consegui sair das carnes gracas a pressao cultural,outros
porque aos poucos venho reduzindo o consumo de carne,diminui a frequência de consumo
porque reduzi bastante o consumo de proteina animal principalmente a bovina quando consumo a quantidade e em torno de 60g,diminui a frequência de consumo
aconteceu naturalmente o interesse pelo consumo de carne comecou a diminuir sou devoto de uma deusa que as vezes pede para que algum devoto pare de comer carne mas essa escolha e totalmente da pessoa e apesar de ser devoto dessa deidade nao acredito que essa questao esteja ligada a diminuicao do meu consumo de carne,diminui a frequência de consumo
eu deixo de comer carte com frequencia por opcao acho que a digestao e melhor as vezes eu passo mal dependendo da carne que como,diminui a frequência de consumo
por minha saude e por entender que precisamos reduzir o co2 da atmosfera e vivermos com mais sustentabilidade,preocupação com a saúde ou ambiente
porquestoes economicas e nojo de manejar cozinhar carne crua,outros
so nao sou vegetariana (fui por 2 ania) porque tenho diabetes e nao consegui adaptar minha dieta acabava comendo mais carboidratos mas evito comer bichos o maximo possivel,diminui a frequência de consumo
porque consegui  reduzir o consumo  de carne animal,diminui a frequência de consumo
porque sinto que quando me alimento de carne fico com mal estar,preocupação com a saúde ou ambiente
por saber que comer carne principalmente vermelha nao faz bem para a saude,preocupação com a saúde ou ambiente
reducao de producao de gases aumento de preco sensibilidade aos animais religiao (jejum) etc,preocupação com a saúde ou ambiente
porque procuro reduzir meu consumo de carne,diminui a frequência de consumo
porque nao sou especificamente vegetariano ou vegano,outros
nao pretendo me tornar vegetariana ou vedacao contudo conheco os problemas decorrentes do grande consumo de carne e os impactos ambientais relacionados acredito que se todos reduzissem o consumo diminuiria significativamente os impactos negativos,preocupação com a saúde ou ambiente
porque nao considero a proteina animal essencial na minha alimentacao,não considera carne essencial
porque sigo comendo peixe e frango mesmo tentando reduzir ainda nao sou vegetariana,diminui a frequência de consumo
porque procuro reduzir o consumo de carne ao longo da semana,diminui a frequência de consumo
"nao vejo minha dieta estando tao atrelada ao consumo de carnes algo que vem da minha propria criacao acho que os brasileiros sao muito dependentes de ter ""mistura"" e isso nao e algo que me afete para mim parece natural nao consumir tanto alem disso vejo que faz bem para o nosso organismo",diminui a frequência de consumo
porque tenho diminuido o consumo de carne tanto em porcao como em frequencia,diminui a frequência de consumo
porque diminui drasticamente o consigo de carne nos últimos 2 anos,diminui a frequência de consumo
reduzindo o consumo de carne porem de uma forma radical,diminui a frequência de consumo
comecei a consumir menos carne por causa do financeiro mas depois me acostumei a nao comer carne e passei a pensar mais no sofrimento animal entao atualmente eu substituo pela carne de soja,exclui alguns animais
porque estou em processo para o vegetarianismo tem uns 2 anos mas ainda n consegui ter responsabilidade alimentar o suficiente para o fazer completamente,diminui a frequência de consumo
gostaria de ser vegetariano/vegano mas a praticidade da oferta de alimentos de origem animal acabam retardando minha decisao,outros
porque nao sinto necessidade em ingerir proteina animal em todas as refeicões e me sinto bem ao conseguir incluir refeicões sem carne ou ate menos sem ingredientes de origem animal no geral,não considera carne essencial
porque como pouca quantidade de proteina animal principalmente carne vermelha nao me apetece muito prefiro legumes e verduras gostaria ate de virar vegetariana,diminui a frequência de consumo
porque tenho tido a oportunidade de observar com mais cuidado minhas fontes alimentares e acredito que precisamos contribuir com o meio ambiente em todos os aspctos da cadeia alimentar,preocupação com a saúde ou ambiente
"tenho vontade de parar de vez o consumo de carne mas ainda acho muito dificil e encontrei assim uma forma de pelo menos diminuir ate o dia em que ""virar a chave"" e eu decida tentar mais a serio ",diminui a frequência de consumo
por ainda me alimentar mesmo que raramente de peixe e camarao,exclui alguns animais
apenas nao gosto muito de carne questao de sabor,outros
reduzir o  do consumo de carne proporciona menos culpa na dieta,diminui a frequência de consumo
nao me considero mas reduzi o consumo de carne pelo preco muito alto e tbm pela saude porque tem muita gordura ne como mais ovo que e bom e tem muita forma de preparar carne mesmo no maximo uma vez na semanaai frango tbm mas menos e peixe mesmo cozinhado so mais na semana santa e cru sushi 1 vez no mes quando sai o salario,diminui a frequência de consumo
reduzi drasticamente o consumo de carne mas ainda consumo esporadicamente frango e peixe minha dieta e 95% vegetais,diminui a frequência de consumo
acredito que a reducao do consumo de carne pode trazer novas experiencias alimenticias reducao de financeiro financeiro e uma dieta melhor para o meu organismo,diminui a frequência de consumo
por causa do impacto_ambiental do agronegocio,preocupação com a saúde ou ambiente
faz muitos anos que nao compramos carne vermelha em virtude da alta dos precos quando comemos e na casa dos nossos pais as opcões vegetarianas ha uns 4 ou 5 anos passaram a fazer parte mais recorrente da nossa alimentacao normalmente no jantar por nossas 3 filhas serem vegetarianas as vezes acrescentamos proteina animal na nossa parte da receita,diminui a frequência de consumo
consciencia ambiental e melhoria da saude,preocupação com a saúde ou ambiente
porque como carne vermelha por semana quando como  o frango tambem tenho reduzido,diminui a frequência de consumo
o termo e novo pra mim sigo nessa acredito que no futuro sera necessario,outros
nao gosto do sabor da maioria das carnes e devido aos impactos que sua producao tem resolvi comer apenas peixe qdo tenho disponivel,exclui alguns animais
a reducao do consume de carne melhorou consideravelmente minha saude e estilo de vida,preocupação com a saúde ou ambiente
para uma melhor qualidade de vida e porque meu medico solicitou a diminuicao do consumo,preocupação com a saúde ou ambiente
por fazer pelo menos uma grande refeicao por semana sem carne,diminui a frequência de consumo
porque como tudo mas a carne para mim nao e indispensavel,não considera carne essencial
reduzi o consumo de carnes por causa de problemas digestivos e tambem pelo dinheiro,preocupação com a saúde ou ambiente
por estar no processo de reduzir cada vez mais esse consumo de carne,diminui a frequência de consumo
sei de provaveis maleficios da carne ao organismo entao 1 ou 2x na semana evito a ingestao,diminui a frequência de consumo
nao me sinto bem quando como carne vermelha principalmente tenho pior digestao quando como esses alimentos,preocupação com a saúde ou ambiente
saude quando como carne vermelha me sinto mal do estômago,preocupação com a saúde ou ambiente
eu gosto de carne acho necessario para minha dieta mas nao consigo ser vegetariana entao diminui o consumo,diminui a frequência de consumo
por varias de dieta as vezes vegetariana e outras vezes excluo consumo so frutos do mar,exclui alguns animais
sei que o sistema que alimentacao carnivora nao e saudavel (tanto para os animais  ja que sao mortos quanto para nos) mas ainda nao consegui largar a carne entao tento evitar sempre que posso,diminui a frequência de consumo
porque tenho reduzido o consumo de carne na alimentacao para melhora de minha saude,preocupação com a saúde ou ambiente
nao me considero pois amo muito carne mas alem do preco da carne e importante diversificar a alimentacao para que possamos consumir todo tipo de nutriente,diminui a frequência de consumo
porque estou retirando a carne gradativamente da minha dieta,diminui a frequência de consumo
"primeiro porque penso que o consumo de carne animal e muito cruel na producao atual, e tambem porque e um item caro se comparado com outros alimentos da mesa brasileira",preocupação com a saúde ou ambiente
nao me considerava ate conhecer um pouco mais sobre o termo dessa forma fui entendendo principalmente com a ajuda da pesquisadora da presente dissertacao nas aulas que tivemos,outros
porque tento reduzir o consumo de produtos com origem animal,diminui a frequência de consumo
"porque penso no sofrimento animal, e no impacto_ambiental",preocupação com a saúde ou ambiente
uma alimentacao reduzida em alimentos de origem animal essa estrategia alimentar esta relacionada a preocupacões com a saude,preocupação com a saúde ou ambiente
por ter reduzido o consumo de carnes em geral de forma significativa,diminui a frequência de consumo
as vezes me sinto intolerante ao consumo de carnes,preocupação com a saúde ou ambiente
"porque tenho buscado reduzir o consumo de carne, principalmente bovina e suina, e buscado alternativas de substituicao",diminui a frequência de consumo
"porque eu reduzi o consumo de carne vermelha, e sempre que ha opcões vegetarianas eu prefiro mas se sentir vontade de comer frango/peixe, eu consumo",diminui a frequência de consumo
porque nao costumo ter apetite por alimentos a base de carne e sinto prazer em comer carne branca,exclui alguns animais
"reduzi meu consumo de carne, depois de ter um infeccao alimentar e pegar uma bacteria da carne de porco",diminui a frequência de consumo
"por nao consumir carnes todos os dias, mas nao deixar de comer",diminui a frequência de consumo
"porque nao consumo diariamente e mesmo quando eu consumo carne, nao chega a ser uma porcao de 120g, consumo cerca de 50g ou menos reduzi a quantidade de vezes na semana e o tamanho da porcao",diminui a frequência de consumo
"pois me preocupo em consumir o minimo possivel de carne de origem animal… e aumentar o consumo das porcões de verduras, folhosos e frutas",preocupação com a saúde ou ambiente
"consciencia ambiental, bem-estar fisico e orgânico",preocupação com a saúde ou ambiente
por fazer uso de pouca carne animal e gostar de mais de vegetais,diminui a frequência de consumo
"reduzi o consumo de carne vermelha, porque identifiquei que nao faco a digestao adequadamente",diminui a frequência de consumo
"pelos impactos do consumo de carne ao meio ambiente, por ter uma questao moral relacionada a consumir animais nao humanos",preocupação com a saúde ou ambiente
"o fator preco e atenuante, mas sempre gostei de verduras e legumes no geral e tentei inicialmente na pandemia testar se conseguiria virar vegetariano e resposta foi positiva e me mantendo ate os dias de hj flexitariano",outros
"alterno carnes com opcões vegetarianas, nao consumo carne todos os dias e ja tive esse habito alimentar",diminui a frequência de consumo
a digestao e dificil meu filho nao e carnivoro e desanimei de comer,preocupação com a saúde ou ambiente
"na verdade, nunca morri de amores por carne, principalmente, vermelha",não considera carne essencial
porque reduzi bastante o consumo de carne,diminui a frequência de consumo
"porque nao consumo carne vermelha ou branca, apenas ocasionalmente peixe",diminui a frequência de consumo
nao gosto do sabor da carne e de sua textura,outros
porque a casa dia consumo menos alimentos de origem animal ate o ponto de nao sentir falta,diminui a frequência de consumo
"em virtude de viver com o aparelho digestivo todo inflamado sofrer com constipacao crônica, etc",preocupação com a saúde ou ambiente
"porque nao como carne vermelha, mas como outras carnes e alimentos de origem animal",exclui alguns animais
porque minha filha e ovolactovegetariana,preocupação com a saúde ou ambiente
porque nao consumo mais mamiferos e faco a segunda sem carne!,exclui alguns animais
porque reduzi meu consumo de carne devido a saude,preocupação com a saúde ou ambiente
porque reduzi o consumo de carne nos últimos 2 anos e nao como carne vermelha,diminui a frequência de consumo
nao como carne bovina/caprina/ovina ha 14 anos,exclui alguns animais
pensando no meio ambiente e no sofrimento animal,preocupação com a saúde ou ambiente
"nao costumo gostar tanto do sabor e textura de carnes no geral (com excecao de frango), acho meio enjoativo e tambem me preocupo com os animais (porem, nao consigo cessar seu consumo por completo), isso acaba reduzindo bastante meu consumo de carnes",diminui a frequência de consumo
"melhorar a saude, depois que tive câncer",preocupação com a saúde ou ambiente
"por sensibilidade a vida animal e ao modo como sao tratados, questoes econômicas e ambientais secundariamente e com isso estou no processo gradativo de desabituar o consumo de carne animal",preocupação com a saúde ou ambiente
"relacao politica, com o meio ambiente e econômica",preocupação com a saúde ou ambiente
tenho consumido menos carne porque sinto dificuldade em digerir,diminui a frequência de consumo
pois nao sou muito adepta ao consumo de carne animal porem ainda nao consegui cortar definitivamente da minha dieta,diminui a frequência de consumo
"eu nunca tinha parado para pensar ser ""flexitariano"" comecei fazendo segunda sem carne alem do bem estar animal, preocupacao ambiental esta sendo bom para minha saude",preocupação com a saúde ou ambiente
"preocupacao ambiental, social e a etica com animais",preocupação com a saúde ou ambiente
estou comecando a retirar a carne da minha dieta por sentir pena de como sao mal tratados os animais ( tanto na criacao quanto para serem sacrificados),preocupação com a saúde ou ambiente
eu nao sabia que era uma flexitariana ate participar desta pesquisa,
"eu nao me considero flexitariana, nao ligo que esse seja o jeito que voces chamam a forma como eu como eu me considero onivora apenas",
"questao de saude, melhora no intestino e no refluxo e preocupacao com os animais",preocupação com a saúde ou ambiente
por nao excluir totalmente o consumo de carne da minha vida alimenticia,exclui alguns animais
"similaridade com carne humana, mals tratos animais e meio ambiente",preocupação com a saúde ou ambiente
"porque tenho sensibilidade a carne vermelha, a carne vermelha transmite o stress e ansiedade de confinamento da criacao aos humanos, e as pegadas hidricas e ecologicas sao muito elevadas",preocupação com a saúde ou ambiente
reduzi a carne devido a problemas de saude,preocupação com a saúde ou ambiente
"o bem estar animal e a devastacao de terras pelo agronegocio devem ser uma questao sempre quando se trata de investimento de dinheiro, alem disso, quanto ao dinheiro, a carne encarece muito a feira do mes",preocupação com a saúde ou ambiente
porque nao consumo carne todos os dias !,diminui a frequência de consumo
porque consumir muita carne bovina nao fez pro meu intestino e a reducao colabora com o meio ambiente,preocupação com a saúde ou ambiente
motivo religioso abstinencia de carne nas sextas-feiras,outros
"porque eu reduzi bastante o consumo de carne tanto devido ao preco como devido as implicacões ambientais na criacao de gado, pena do animal, dentre outros fui vegetariana por 3 anos e apenas voltei a comer carne porque precisava cozinhar para minha familia e ja nao dava conta de fazer outras opcões e nao me achava no direito de privar meus filhos de uma fonte importante de proteina e ferro na verdade, ficava insegura de prejudicar o desenvolvimento deles tambem por uma opcao minha hoje em dia voltei a comer carne de boi e porco, mas e algo que ainda me provoca culpa por conhecer o que tem por tras dessa indústria em relacao as duas perguntas anteriores, nao sei se ""preocupacao"" foi o melhor termo, pois sim, eu me preocupo, mas nao consigo escolher o produto levando em consideracao a dieta dieta animais pois ha tempos nos desvinculamos da origem do nosso alimento acabo comprando carne sem saber qual a dieta do animal, porque nao ha essa informacao mas sim, me preocupo",preocupação com a saúde ou ambiente
por conseguir substituir o consumo por outra proteina,outros
por estar reconsiderando o meu consumo de carne,diminui a frequência de consumo
por causa das condicões financeiras atuais,outros
"em muitas refeicões nao consumo carne, substituo a carne pela batata, facilmente",diminui a frequência de consumo
"porque minha alimentacao e quase toda sem carne, ha mais dois venho reduzindo gradativamente mas as vezes se tiver muita vontade de consumir algo que tem carne me permito sem culpa, mas e cada vez menos frequente",diminui a frequência de consumo
"porque nao me sinto bem comendo animais, especialmente de grande porte",preocupação com a saúde ou ambiente
por acreditar que faz bem a saude consumir menos carne,preocupação com a saúde ou ambiente
"sei do impacto que a indústria pecuaria gera ao meio ambiente mesmo as que nao criam o animal em confinamento, decidem a data de morte do animal e eu nao acho certo acho qie os animais tem sentimentos e direito a vida como qualquer um de nos so nao consegui virar vegetariana ainda porque nao consegui ter disciplina e organizacao para manter um estoque de legumes e verduras que atendesse a minha familia grande outro ponto e que, em parte, sinto que dificulta um pouco a socializacao ao visitar amigos, ir em festinhas e tem pratos como o estrogonofe e a lasanha bolonhesa da minha avo que me trazem memorias afetivas e nao consegui abrir mao ainda",preocupação com a saúde ou ambiente
"porque nao considero correto tirarmos a vida de um animal, causar dor ou sofrimento nele para nossa alimentacao sinto remorso sempre!",preocupação com a saúde ou ambiente
"ha alguns varios anos venho reduzindo a quantidade de carne que consumo, pois sempre considerei as porcões muito exageradas (ex um bife pequeno e suficiente) e ha menos tempo venho tentando adotar dias sem nenhum tipo carne, apenas com vegetais ou ovo",diminui a frequência de consumo
porque nao consumo proteina de origem animal todos os dias e nem em todas as refeicões no mesmo dia,diminui a frequência de consumo
"ja tentei ser vegetariana mas tive anemia, entao passei a reduzir proteina animal apenas, mas prefiro sempre o peixe",diminui a frequência de consumo
pelo carater do bem estar animal e pelo desgradacao da natureza realizada pelos criadores de bois e aviarios,preocupação com a saúde ou ambiente
"ja fui vegetariana e hoje procuro consumir maior quantidade de vegetais reduzo as porcões de carne nas refeicões, e pontualmente faco refeicões sem carne",diminui a frequência de consumo
porque venho perdendo a vontade/gosto por esse tipo de comida,preocupação com a saúde ou ambiente
porque tenho consciencia de que o consumo de carne diariamente e insustentavel para o planeta,preocupação com a saúde ou ambiente
"porque ha dias na semana em que nao como carne, principalmente carne vermelha",diminui a frequência de consumo
porque diminui muito o meu consumo de carne e ja nao sinto falta,diminui a frequência de consumo
